name,text,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,followers,response,corpus,word_count,log_plus1,log
nonprofitist,"Looking for the right expert to help your nonprofit succeed? Nonprofit.ist can help. Sign up for your free nonprofit account to start searching for trusted consultants today! --> https://www.nonprofit.ist/joinnonprofit

#nonprofit #nonprofitconsulting",2,0,2.0,1,0,6.764705882352941,"looking for the right expert to help your nonprofit succeed nonprofitist can help sign up for your free nonprofit account to start searching for trusted consultants today  

 ",241,2,"['looking', 'right', 'expert', 'help', 'nonprofit', 'succeed', 'nonprofitist', 'help', 'sign', 'free', 'nonprofit', 'account', 'start', 'searching', 'trusted', 'consultants', 'today', 'looking', 'right', 'expert', 'help', 'nonprofit', 'succeed', 'nonprofitist', 'help', 'sign', 'free', 'nonprofit', 'account', 'start', 'searching', 'trusted', 'consultants', 'today']",34,1.0986122886681098,0.6931471805599453
nonprofitist,"If you're dreading hybrid meetings, Nonprofit.ist expert Meredith Emmett from Third Space Studio has tips on how you can make them work for your team.

#nonprofit #nonprofitconsulting #meetings

NONPROFIT.IST
Dreading Hybrid Meetings? You CAN Make Them Better",5,0,3.0,1,0,6.428571428571429,"if youre dreading hybrid meetings nonprofitist expert meredith emmett from third space studio has tips on how you can make them work for your team

  

nonprofitist
dreading hybrid meetings you can make them better",241,5,"['youre', 'dreading', 'hybrid', 'meetings', 'nonprofitist', 'expert', 'meredith', 'emmett', 'third', 'space', 'studio', 'tips', 'make', 'work', 'team', 'nonprofitist', 'dreading', 'hybrid', 'meetings', 'make', 'better', 'youre', 'dreading', 'hybrid', 'meetings', 'nonprofitist', 'expert', 'meredith', 'emmett', 'third', 'space', 'studio', 'tips', 'make', 'work', 'team', 'nonprofitist', 'dreading', 'hybrid', 'meetings', 'make', 'better']",42,1.791759469228055,1.6094379124341003
nonprofitist,"What happens when your executive director leaves? If you don't have a plan in place, you should. That's where executive transition consultants come in. Sign up for your free nonprofit account to connect with one of them! --> https://www.nonprofit.ist/expert/executive-transition

#nonprofit #nonprofitleadership #nonprofitconsulting",1,0,3.0,1,0,6.444444444444445,"what happens when your executive director leaves if you dont have a plan in place you should thats where executive transition consultants come in sign up for your free nonprofit account to connect with one of them  

  ",241,1,"['happens', 'executive', 'director', 'leaves', 'dont', 'plan', 'place', 'thats', 'executive', 'transition', 'consultants', 'come', 'sign', 'free', 'nonprofit', 'account', 'connect', 'one', 'happens', 'executive', 'director', 'leaves', 'dont', 'plan', 'place', 'thats', 'executive', 'transition', 'consultants', 'come', 'sign', 'free', 'nonprofit', 'account', 'connect', 'one']",36,0.6931471805599453,0.0
nonprofitist,"Looking for Nonprofit.ist's articles that can help you find success in working with consultants as well as our toolkits? Check out our nonprofit resource page --> https://www.nonprofit.ist/npresources

#nonprofit #nonprofitconsulting #nonprofitmanagement",1,0,3.0,1,0,7.071428571428571,"looking for nonprofitists articles that can help you find success in working with consultants as well as our toolkits check out our nonprofit resource page  

  ",241,1,"['looking', 'nonprofitists', 'articles', 'help', 'find', 'success', 'working', 'consultants', 'well', 'toolkits', 'check', 'nonprofit', 'resource', 'page', 'looking', 'nonprofitists', 'articles', 'help', 'find', 'success', 'working', 'consultants', 'well', 'toolkits', 'check', 'nonprofit', 'resource', 'page']",28,0.6931471805599453,0.0
nonprofitist,"I am SO thrilled to be partnering with Nonprofitist to present the Consulting for Change workshop series and group coaching program!

I have been working with folks on building their business like they give a damn for years and I love helping others discover how to align their values with their actions. There is also something magical about the group setting - new insights emerge when we are rooted in camaraderie.

To learn more and register: https://www.eventbrite.com/e/consulting-for-change-build-your-business-like-you-give-a-damn-registration-151000637973",2,0,0.0,0,0,6.684210526315789,"i am so thrilled to be partnering with nonprofitist to present the consulting for change workshop series and group coaching program

i have been working with folks on building their business like they give a damn for years and i love helping others discover how to align their values with their actions there is also something magical about the group setting  new insights emerge when we are rooted in camaraderie

to learn more and register ",241,2,"['thrilled', 'partnering', 'nonprofitist', 'present', 'consulting', 'change', 'workshop', 'series', 'group', 'coaching', 'program', 'working', 'folks', 'building', 'business', 'like', 'give', 'damn', 'years', 'love', 'helping', 'others', 'discover', 'align', 'values', 'actions', 'also', 'something', 'magical', 'group', 'setting', 'new', 'insights', 'emerge', 'rooted', 'camaraderie', 'learn', 'register', 'thrilled', 'partnering', 'nonprofitist', 'present', 'consulting', 'change', 'workshop', 'series', 'group', 'coaching', 'program', 'working', 'folks', 'building', 'business', 'like', 'give', 'damn', 'years', 'love', 'helping', 'others', 'discover', 'align', 'values', 'actions', 'also', 'something', 'magical', 'group', 'setting', 'new', 'insights', 'emerge', 'rooted', 'camaraderie', 'learn', 'register']",76,1.0986122886681098,0.6931471805599453
nonprofitist,"Have you downloaded our free Nonprofit Success Toolkit? Filled with resources from Nonprofit.ist experts, you'll get tools to help your nonprofit be successful! Get it now --> https://www.nonprofit.ist/toolkit

#nonprofit #nonprofitconsulting #nonprofitmanagement #nonprofitleadership #nonprofits #nonprofitorganization",1,0,6.0,1,0,6.875,"have you downloaded our free nonprofit success toolkit filled with resources from nonprofitist experts youll get tools to help your nonprofit be successful get it now  

     ",241,1,"['downloaded', 'free', 'nonprofit', 'success', 'toolkit', 'filled', 'resources', 'nonprofitist', 'experts', 'youll', 'get', 'tools', 'help', 'nonprofit', 'successful', 'get', 'downloaded', 'free', 'nonprofit', 'success', 'toolkit', 'filled', 'resources', 'nonprofitist', 'experts', 'youll', 'get', 'tools', 'help', 'nonprofit', 'successful', 'get']",32,0.6931471805599453,0.0
nonprofitist,"Do you give a damn? Join me and Nonprofitist for this unique workshop series and group coaching program.

Business can be used to create flourishing in the world: flourishing for our clients, our society and the environment, and for ourselves. We can do good work in the world without compromising our values or relying upon systems and structures that cause harm.

Nonprofit.ist and Allgood Strategies have teamed up to present Consulting for Change: Building Your Business Like You Give a Damn, a unique workshop series and group coaching program. This program is intended to be a deep dive into aligning values with actions and creating consulting businesses that create real change in the world. This program provides training and support for individuals who are either starting or growing a consultancy or solopreneur business.

Who’s the right fit: This program is designed for folks who give a damn - the ones who care deeply about their impact in the world and want to live their values through their consulting work.

What’s included: This workshop series comes with a handbook and three group coaching sessions.

What’s the investment: $699 (Nonprofit.ist members receive a $100 discount!)

What’s the time commitment*:
June 1, (2:00-4:30pm): Building Your Foundation: Vision, Values, and Theory of Change
June 8, 2021 (2:00-4:30pm): Conscientious Consulting: Business Practices for Change
June 15, 2021 (2:00-4:30pm): Authentic Communication: Connecting for Change
June 29, 2021 (2:00-3:00pm): Group Coaching Session #1
July 27, 2021 (2:00-3:00pm): Group Coaching Session #2
August 24, 2021 (2:00-3:00pm): Group Coaching Session #3
Detailed workshop descriptions can be found here
*All times are EST

Each session will take place via Zoom. A calendar invite with the Zoom link will be sent within 24 hours of registration.

Please let me know if you have any questions!

Learn more and register: http://bit.ly/consultingforchange",1,0,3.0,1,0,6.505813953488372,"do you give a damn join me and nonprofitist for this unique workshop series and group coaching program

business can be used to create flourishing in the world flourishing for our clients our society and the environment and for ourselves we can do good work in the world without compromising our values or relying upon systems and structures that cause harm

nonprofitist and allgood strategies have teamed up to present consulting for change building your business like you give a damn a unique workshop series and group coaching program this program is intended to be a deep dive into aligning values with actions and creating consulting businesses that create real change in the world this program provides training and support for individuals who are either starting or growing a consultancy or solopreneur business

whos the right fit this program is designed for folks who give a damn  the ones who care deeply about their impact in the world and want to live their values through their consulting work

whats included this workshop series comes with a handbook and three group coaching sessions

whats the investment  nonprofitist members receive a  discount

whats the time commitment
june  pm building your foundation vision values and theory of change
june   pm conscientious consulting business practices for change
june   pm authentic communication connecting for change
june   pm group coaching session 
july   pm group coaching session 
august   pm group coaching session 
detailed workshop descriptions can be found here
all times are est

each session will take place via zoom a calendar invite with the zoom link will be sent within  hours of registration

please let me know if you have any questions

learn more and register ",241,1,"['give', 'damn', 'join', 'nonprofitist', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'business', 'used', 'create', 'flourishing', 'world', 'flourishing', 'clients', 'society', 'environment', 'good', 'work', 'world', 'without', 'compromising', 'values', 'relying', 'upon', 'systems', 'structures', 'cause', 'harm', 'nonprofitist', 'allgood', 'strategies', 'teamed', 'present', 'consulting', 'change', 'building', 'business', 'like', 'give', 'damn', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'program', 'intended', 'deep', 'dive', 'aligning', 'values', 'actions', 'creating', 'consulting', 'businesses', 'create', 'real', 'change', 'world', 'program', 'provides', 'training', 'support', 'individuals', 'either', 'starting', 'growing', 'consultancy', 'solopreneur', 'business', 'whos', 'right', 'fit', 'program', 'designed', 'folks', 'give', 'damn', 'ones', 'care', 'deeply', 'impact', 'world', 'want', 'live', 'values', 'consulting', 'work', 'whats', 'included', 'workshop', 'series', 'comes', 'handbook', 'three', 'group', 'coaching', 'sessions', 'whats', 'investment', 'nonprofitist', 'members', 'receive', 'discount', 'whats', 'time', 'commitment', 'june', 'pm', 'building', 'foundation', 'vision', 'values', 'theory', 'change', 'june', 'pm', 'conscientious', 'consulting', 'business', 'practices', 'change', 'june', 'pm', 'authentic', 'communication', 'connecting', 'change', 'june', 'pm', 'group', 'coaching', 'session', 'july', 'pm', 'group', 'coaching', 'session', 'august', 'pm', 'group', 'coaching', 'session', 'detailed', 'workshop', 'descriptions', 'found', 'times', 'est', 'session', 'take', 'place', 'via', 'zoom', 'calendar', 'invite', 'zoom', 'link', 'sent', 'within', 'hours', 'registration', 'please', 'let', 'know', 'questions', 'learn', 'register', 'give', 'damn', 'join', 'nonprofitist', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'business', 'used', 'create', 'flourishing', 'world', 'flourishing', 'clients', 'society', 'environment', 'good', 'work', 'world', 'without', 'compromising', 'values', 'relying', 'upon', 'systems', 'structures', 'cause', 'harm', 'nonprofitist', 'allgood', 'strategies', 'teamed', 'present', 'consulting', 'change', 'building', 'business', 'like', 'give', 'damn', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'program', 'intended', 'deep', 'dive', 'aligning', 'values', 'actions', 'creating', 'consulting', 'businesses', 'create', 'real', 'change', 'world', 'program', 'provides', 'training', 'support', 'individuals', 'either', 'starting', 'growing', 'consultancy', 'solopreneur', 'business', 'whos', 'right', 'fit', 'program', 'designed', 'folks', 'give', 'damn', 'ones', 'care', 'deeply', 'impact', 'world', 'want', 'live', 'values', 'consulting', 'work', 'whats', 'included', 'workshop', 'series', 'comes', 'handbook', 'three', 'group', 'coaching', 'sessions', 'whats', 'investment', 'nonprofitist', 'members', 'receive', 'discount', 'whats', 'time', 'commitment', 'june', 'pm', 'building', 'foundation', 'vision', 'values', 'theory', 'change', 'june', 'pm', 'conscientious', 'consulting', 'business', 'practices', 'change', 'june', 'pm', 'authentic', 'communication', 'connecting', 'change', 'june', 'pm', 'group', 'coaching', 'session', 'july', 'pm', 'group', 'coaching', 'session', 'august', 'pm', 'group', 'coaching', 'session', 'detailed', 'workshop', 'descriptions', 'found', 'times', 'est', 'session', 'take', 'place', 'via', 'zoom', 'calendar', 'invite', 'zoom', 'link', 'sent', 'within', 'hours', 'registration', 'please', 'let', 'know', 'questions', 'learn', 'register']",344,0.6931471805599453,0.0
nonprofitist,"Are you a consultant who gives a damn? Nonprofit.ist and
Allgood Strategies are teaming up to present ""Consulting for Change: Building Your Business Like You Give a Damn,"" a unique workshop series and group coaching program. Click the link to learn more and register now. Nonprofit.ist experts - check the LinkedIn group or email Kate (kate@nonprofit.ist) for the promo code to get $100 off the registration price.

#nonprofit #nonprofitconsulting #nonprofitconsultant #coaching

EVENTBRITE.COM
Consulting for Change: Build Your Business Like You Give a Damn",1,0,4.0,1,0,6.608695652173913,"are you a consultant who gives a damn nonprofitist and
allgood strategies are teaming up to present consulting for change building your business like you give a damn a unique workshop series and group coaching program click the link to learn more and register now nonprofitist experts  check the linkedin group or email kate kateist for the promo code to get  off the registration price

   

eventbritecom
consulting for change build your business like you give a damn",241,1,"['consultant', 'gives', 'damn', 'nonprofitist', 'allgood', 'strategies', 'teaming', 'present', 'consulting', 'change', 'building', 'business', 'like', 'give', 'damn', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'click', 'link', 'learn', 'register', 'nonprofitist', 'experts', 'check', 'linkedin', 'group', 'email', 'kate', 'kateist', 'promo', 'code', 'get', 'registration', 'price', 'eventbritecom', 'consulting', 'change', 'build', 'business', 'like', 'give', 'damn', 'consultant', 'gives', 'damn', 'nonprofitist', 'allgood', 'strategies', 'teaming', 'present', 'consulting', 'change', 'building', 'business', 'like', 'give', 'damn', 'unique', 'workshop', 'series', 'group', 'coaching', 'program', 'click', 'link', 'learn', 'register', 'nonprofitist', 'experts', 'check', 'linkedin', 'group', 'email', 'kate', 'kateist', 'promo', 'code', 'get', 'registration', 'price', 'eventbritecom', 'consulting', 'change', 'build', 'business', 'like', 'give', 'damn']",92,0.6931471805599453,0.0
nonprofitist,"Join Nonprofit.ist expert Erin Spencer from EdgeBrook Lane Consulting for a free webinar on March 24 looking at employee vs contractor classifications.

EVENTBRITE.COM
Team Structure: W-2 Employee or 1099 Subcontractor?

EdgeBrook Lane Consulting
March 10, 2021 at 5:08 PM ·

Only 2 weeks left to register for our free webinar covering classification of W-2 Employees vs. 1099 Contractors. Visit the link below to register!",1,0,0.0,1,0,6.878048780487805,"join nonprofitist expert erin spencer from edgebrook lane consulting for a free webinar on march  looking at employee vs contractor classifications

eventbritecom
team structure w employee or  subcontractor

edgebrook lane consulting
march   at  pm 

only  weeks left to register for our free webinar covering classification of w employees vs  contractors visit the link below to register",241,1,"['join', 'nonprofitist', 'expert', 'erin', 'spencer', 'edgebrook', 'lane', 'consulting', 'free', 'webinar', 'march', 'looking', 'employee', 'vs', 'contractor', 'classifications', 'eventbritecom', 'team', 'structure', 'w', 'employee', 'subcontractor', 'edgebrook', 'lane', 'consulting', 'march', 'pm', 'weeks', 'left', 'register', 'free', 'webinar', 'covering', 'classification', 'w', 'employees', 'vs', 'contractors', 'visit', 'link', 'register', 'join', 'nonprofitist', 'expert', 'erin', 'spencer', 'edgebrook', 'lane', 'consulting', 'free', 'webinar', 'march', 'looking', 'employee', 'vs', 'contractor', 'classifications', 'eventbritecom', 'team', 'structure', 'w', 'employee', 'subcontractor', 'edgebrook', 'lane', 'consulting', 'march', 'pm', 'weeks', 'left', 'register', 'free', 'webinar', 'covering', 'classification', 'w', 'employees', 'vs', 'contractors', 'visit', 'link', 'register']",82,0.6931471805599453,0.0
nonprofitist,"Less than two weeks away from this great webinar. Have you registered?

EVENTBRITE.COM
Consultants Advancing Racial Equity: Lessons & Strategies from the Field",0,0,0.0,1,0,7.0,"less than two weeks away from this great webinar have you registered

eventbritecom
consultants advancing racial equity lessons  strategies from the field",241,0,"['less', 'two', 'weeks', 'away', 'great', 'webinar', 'registered', 'eventbritecom', 'consultants', 'advancing', 'racial', 'equity', 'lessons', 'strategies', 'field', 'less', 'two', 'weeks', 'away', 'great', 'webinar', 'registered', 'eventbritecom', 'consultants', 'advancing', 'racial', 'equity', 'lessons', 'strategies', 'field']",30,0.0,0.0
