"","Name","Date","Platform","Weekday","Time.of.Day.Posted","Post.Category","Post.Image.Content","Likes","Like.Follower.Ratio","Comments","Reshares","Caption.Word.Count","Num.Hashtags","Hashtag.1","Hashtag.2","Hashtag.3","Hashtag.4","Hashtag.5","Hashtag.6","Hashtag.7","Hashtag.8","Links","Caption.Trigger.Words..From.Text.Analysis.","Caption","Sentiment.0.3.","Interactive.","Humor.","Personal.Touch.","Sentiment2","Interactive2","Humor2","Personal.Touch2","ranks","success","Sentiment","Interactive","Personal.Touch","Humor"
"172","Nonprofitist","4/27/2021","Facebook","Tue","","Information","Graphic",1,0.004484304933,0,0,325,0,"","","","","","","","","Y",NA,"Do you give a damn? Join me and Nonprofitist for this unique workshop series and group coaching program. 
Business can be used to create flourishing in the world: flourishing for our clients, our society and the environment, and for ourselves. We can do good work in the world without compromising our values or relying upon systems and structures that cause harm. 
Nonprofit.ist and Allgood Strategies have teamed up to present Consulting for Change: Building Your Business Like You Give a Damn, a unique workshop series and group coaching program. This program is intended to be a deep dive into aligning values with actions and creating consulting businesses that create real change in the world. This program provides training and support for individuals who are either starting or growing a consultancy or solopreneur business. 
Who’s the right fit: This program is designed for folks who give a damn - the ones who care deeply about their impact in the world and want to live their values through their consulting work. 
What’s included: This workshop series comes with a handbook and three group coaching sessions. 
What’s the investment: $699 (Nonprofit.ist members receive a $100 discount!) 
What’s the time commitment*: 
June 1, (2:00-4:30pm): Building Your Foundation: Vision, Values, and Theory of Change
June 8, 2021 (2:00-4:30pm): Conscientious Consulting: Business Practices for Change
June 15, 2021 (2:00-4:30pm): Authentic Communication: Connecting for Change 
June 29, 2021 (2:00-3:00pm): Group Coaching Session #1 
July 27, 2021 (2:00-3:00pm): Group Coaching Session #2
August 24, 2021 (2:00-3:00pm): Group Coaching Session #3 
Detailed workshop descriptions can be found here
*All times are EST 
Each session will take place via Zoom. A calendar invite with the Zoom link will be sent within 24 hours of registration. 
Please let me know if you have any questions! 
Learn more and register: http://bit.ly/consultingforchange",3,1,1,1,2,1,0,1,5,1,2.5,"2",2,1
"173","Nonprofitist","4/21/2021","Facebook","Wed","","Advertisement","Graphic",1,0.004484304933,0,0,74,4,"#nonprofit","#nonprofitconsulting","#nonprofitconsultant","#coaching","","","","","Y",NA,"Are you a consultant who gives a damn? Nonprofit.ist and 
Allgood Strategies are teaming up to present ""Consulting for Change: Building Your Business Like You Give a Damn,"" a unique workshop series and group coaching program. Click the link to learn more and register now. Nonprofit.ist experts - check the LinkedIn group or email Kate (kate@nonprofit.ist) for the promo code to get $100 off the registration price. 
#nonprofit #nonprofitconsulting #nonprofitconsultant #coaching",3,0,0,0,2,1,0,1,5,1,2.5,"1",1,0
"174","Nonprofitist","3/16/2021","Facebook","Tue","","Information","Graphic",1,0.004484304933,0,0,23,0,"","","","","","","","","Y",NA,"Join Nonprofit.ist expert Erin Spencer from EdgeBrook Lane Consulting for a free webinar on March 24 looking at employee vs contractor classifications.",3,1,0,0,2,1,0,1,5,1,2.5,"2",1,0
"175","Nonprofitist","3/11/2021","Facebook","Thu","","Advertisement","Graphic",0,0,0,0,12,0,"","","","","","","","","Y",NA,"Less than two weeks away from this great webinar. Have you registered?",2,0,0,0,2,1,0,0,13,0,2,"1",0,0
"176","Nonprofitist","3/9/2021","Facebook","Tue","","Advertisement","Video",0,0,0,0,51,0,"","","","","","","","","Y",NA,"This year's Virtual Summit for Nonprofit Changemakers - March 23-25 - features a number of great speakers, including Nonprofit.ist founder Heather Yandow and a number of Nonprofit.ist experts. Here's a quick recap of last year's informative sessions. Intrigued? Register now! --> https://www.eventcombo.com/.../virtual-summit-for...",3,0,0,0,2,1,0,1,13,0,2.5,"1",1,0
"177","Nonprofitist","3/4/2021","Facebook","Thu","","Advertisement","Graphic",1,0.004484304933,0,0,46,4,"#authenticleadership","#racialequity","#consultants","#leaders4movements","","","","","Y",NA,"Forward Movement Consulting is thrilled to partner again with Nonprofitist to lead a conversation for consultants working to advance racial equity. Join me and my colleagues as we share lessons and practical strategies from the field. #authenticleadership #racialequity #consultants #leaders4movements 
Register Today! https://lnkd.in/dakXK39",3,0,0,0,2,1,0,1,5,1,2.5,"1",1,0
"178","Nonprofitist","2/25/2021","Facebook","Thu","","Advertisement","Miscellaneous",5,0.02242152466,0,1,43,0,"","","","","","","","","Y",NA,"Heather will be presenting a session on smarter strategic planning at this year's Virtual Summit for Nonprofit Changemakers. You can save $50 off early bird tickets when you use promo code SAVE50BUCKS before 2/28!  --> https://www.eventcombo.com/.../virtual-summit-for...",3,1,0,1,2,1,0,1,1,1,2.5,"2",2,0
"179","Nonprofitist","2/23/2021","Facebook","Tue","","Education","Graphic",1,0.004484304933,0,0,96,6,"#fundraising","#charitablegiving","#nonprofit","#nonprofits","#nonprofitfundraising","#nonprofitconsulting","","","Y",NA,"According to the latest Charitable Giving Report from Blackbaud, there was a 2% overall giving increase in 2020, with a 21% increase in online giving.
""The overall and digital giving trends in 2020 would be considered quite remarkable in a typical year. But as we all know, 2020 was interrupted by dramatic global events, an economic rollercoaster, withering wildfires and other natural disasters, unprecedented strains on the healthcare system, surging social movements, and political uncertainty. Despite all these headwinds, the generosity of people rose to meet the multitude of challenges.""
#fundraising #charitablegiving #nonprofit #nonprofits #nonprofitfundraising #nonprofitconsulting",3,0,0,0,3,0,0,1,5,1,3,"0",1,0
"180","Nicole Clark Consulting","3/9/2022","Instagram","Wed","","Education","Words",6,0.00406504065,0,NA,52,8,"#raiseyourvoice #nicoleclarkconsulting #selfcarecorner #selfcare #communitycare #burnout #socialwork #publichealth","","","","","","","","Y",NA,"Representation burnout is like walking a tightrope, wanting to represent the communities that share your lived experiences, while also desiring to be seen as an individual.

How do you manage representation burnout? Read more of this week's blog post at 
https://nicoleclarkconsulting.com/self-care-corner-representation-burnout/ (LINK IN BIO)",3,1,0,0,2,1,0,1,11,0,2.5,"2",1,0
"181","Nicole Clark Consulting","2/7/2022","Instagram","Mon","","Advertisement","Graphic",8,0.005420054201,0,NA,68,5,"#raiseyourvoice #nicoleclarkconsulting #socialwork #publichealth #selfcare","","","","","","","","Y",NA,"Each week in the Raise Your Voice newsletter, I share my thoughts on building stronger, equitable practices to help you raise your voice for women and girls of color. Plus, I share curated resources and personal insights as I work with clients and partners.⠀
⠀
Sign up today at http://nicoleclarkconsulting.com/newsletter (LINK IN BIO) and get a copy of “The Revolution Starts with Me!” self care zine. ⠀",3,0,0,1,3,1,0,1,9,0,3,"1",2,0
"182","Nicole Clark Consulting","1/5/2022","Instagram","Wed","","Education","Words",7,0.004742547425,0,NA,4,3,"#socialwork #publichealth #nonprofits","","","","","","","","Y",NA,"#socialwork #publichealth #nonprofits",2,0,0,0,2,0,0,0,10,0,2,"0",0,0
"183","Nicole Clark Consulting","1/3/2022","Instagram","Mon","","Personal","Video",6,0.00406504065,3,NA,11,4,"#washingtondc #snowday #DC #districtofcolumbia","","","","","","","","N",NA,"Good morning! Can you see the Capitol Building in the distance? ",3,0,0,0,2,1,0,0,11,0,2.5,"1",0,0
"184","Nicole Clark Consulting","10/20/2021","Instagram","Wed","","Advertisement","Graphic",3,0.002032520325,0,NA,62,7,"#raiseyourvoice #nicoleclarkconsulting #research #evaluation #datadriven #nonprofits #grassroots","","","","","","","","Y",NA,"Being data-driven means moving beyond decision-making that primarily benefits funders and external stakeholders. It means making intentional learning investments that champion questioning, reflection, and action that directly benefit your staff AND stakeholders.⠀
⠀
So how can nonprofits become more data-driven? Here’s one simple, accessible way to get started : https://nicoleclarkconsulting.com/be-grassroots-and-data-driven/ (LINK IN BIO)⠀",3,1,0,0,2,1,0,0,14,0,2.5,"2",0,0
"185","Nicole Clark Consulting","10/18/2021","Instagram","Mon","","Personal","Words",10,0.006775067751,0,NA,126,7,"#raiseyourvoice #nicoleclarkconsulting #reprojustice #nonprofits #communityengagement #socialwork #publichealth","","","","","","","","N",NA,"The communities you serve are the gatekeepers. They determine if the programs, services, and initiatives you create and implement are effective and speak to their lives experiences.⠀
⠀
‘Should I pass you the mic or speak for you?’ reminds me of the power dynamic between people in positions of power and under-resourced communities.⠀
⠀
For me, passing the mic means inviting communities to be part of the change making process. And speaking for them means holding my client and partner organizations accountable in how they share their stories.‬ ‪ It’s a question I now keep in the back of my mind as I work with the people who are closely connected to the gatekeepers.⠀
⠀
How do you pass the mic AND speak for the communities you serve?‬⠀",3,0,0,0,3,1,0,1,5,1,3,"1",1,0
"186","Nicole Clark Consulting","10/11/2021","Instagram","Mon","","Promotion","Graphic",9,0.006097560976,0,NA,79,4,"#raiseyourvoice #blackreseachers #research #professionaldevelopment","","","","","","","","Y",NA,"The Association of Black Researchers is a newly formed membership-based organization, collaborative space, and community for current and future Black researchers.⠀
⠀
From quarterly journals and book clubs, networking events, professional development trainings, membership directory, and the annual ABR conference, connect with other Black researchers in the US and globally and amplify the voices of Black researchers. ⠀
⠀
Follow @blackresearchers and join this month for 25% off membership using the code ABRLAUNCH: https://www.blackresearchers.org/ABRregister (LINK IN BIO).⠀",3,1,0,0,3,1,0,1,7,0,3,"2",1,0
"187","Nicole Clark Consulting","2/28/2022","Instagram","Mon","","Advertisement","Words",2,0.00135501355,0,NA,78,6,"#raiseyourvoice #nicoleclarkconsulting #socialwork #publichealth #reprojustice #reproductivejustice","","","","","","","","Y",NA,"“The Story of Me, The Story of Us, The Story of Now” highlights our commonalities and connects our individual stories for action.

If you have an upcoming presentation or are planning a workshop and need a reflective exercise for your participants, use simple framework to ground your talking points and let me know how it goes for you.

Swipe through for the highlights or read more in depth at http://nicoleclarkconsulting.com/story-of-me-us-now/",3,1,0,0,2,1,0,1,15,0,2.5,"2",1,0
"188","Nicole Clark Consulting","2/22/2022","Instagram","Tue","","Promotion","Graphic",15,0.01016260163,1,NA,86,6,"#freethepill #raiseyourvoice #reprojustice #contraceptionjustice #socialwork #publichealth","","","","","","","","Y",NA,"Birth control pills have been heralded as one of the most important innovations of the 20th century. While this is an achievement worth celebrating, tools of family planning have been used to subjugate Black women’s reproduction in the past.

Join @free_the_pill , @sistersong_woc , @bw4wla , and @nationalmedassn this Friday, February 25, for an open discussion about how access to over-the-counter birth control pills can be a critical tool towards equity and bodily autonomy for Black women.

Registration required: bit.ly/FreeThePill-BHM (LINK IN BIO).",3,0,0,0,3,1,0,1,2,1,3,"1",1,0
"189","Nicole Clark Consulting","1/10/2022","Instagram","Mon","","Personal","Graphic",17,0.01151761518,0,NA,211,7,"#raiseyourvoice #nicoleclarkconsulting #selfcare #introvert #extrovert #socialwork #publichealth","","","","","","","","N",NA,"Navigating the pandemic as an introvert (where too much solitude is draining) or as an extrovert (where social distancing from friends and family has taken its toll) has its pros and cons.

One way to balance your introvert and extrovert sides is to identify self care activities that meet the needs of both sides separately and together.

Grab a sheet of paper, something to write with, and create your introvert/extrovert self care plan. Swipe through for ideas: 

SECOND PIC: Think of a Venn diagram, where two circles overlap in the middle. Draw out your circles and label the left side as INTROVERT and the right as EXTROVERT. In each circle, list self care activities and/or people you can count on that speak to either side. What would an introverted or extroverted self care activity look like during the pandemic?

THIRD PIC: Now, list the overlap section as BOTH. In this section, list activities that you could do by yourself but can be shared with another person. This helps you create a self care plan that is well-rounded. Here's one example.

Create a self care plan that honors your solitude while also exploring ways to connect with others. Try this out and let me know how it goes.",3,1,0,0,3,1,0,1,1,1,3,"2",1,0
"190","Nicole Clark Consulting","10/25/2021","Instagram","Mon","","Advertisement","Words",4,0.0027100271,1,NA,68,5,"#raiseyourvoice #nicoleclarkconsulting #socialwork #publichealth #reprojustice #reproductivejustice","","","","","","","","Y",NA,"One of the best parts of my job is developing useful tools and resources for clients, partners and colleagues, and I’m always excited to hear how you’re using them.⠀
⠀
If you’re curious how this process can work for your next workshop, training or community event, read more about my services and interest topics and let’s work together: www.nicoleclarkconsulting.com/services (LINK IN BIO).⠀",3,1,0,1,2,1,0,1,13,0,2.5,"2",2,0
"191","Nicole Clark Consulting","7/21/2021","Instagram","Wed","","Promotion","Words",10,0.006775067751,0,NA,63,5,"#selfcare #happiness #mentalhealth #socialwork #publichealth","","","","","","","","N",NA,"I love this infographic from Bryce Reddy, LMHC (@mombrain.therapist)! ⠀
⠀
Bryce shares, “We focus a lot here on building awareness around the thoughts, feelings and situations that trigger our anger. ⁣But I think it's also important to build awareness around the things that give us bursts of happiness and joy.”⁣⁣
⠀
What’s one things that brings you an instant dose of happiness?⠀",3,0,0,0,3,1,0,1,5,1,3,"1",1,0
"192","Nicole Clark Consulting","6/16/2021","Instagram","Wed","","Activism","People",9,0.006097560976,0,NA,126,4,"#raiseyourvoice #shiftyourculture #equity #consulting","","","","","","","","N",NA,"It’s been a year since the murders of Ahmaud Arbery, Breonna Taylor, and George Floyd.

What has your organization done to advance equity and shift culture for all employees, especially your BIPOC staff and staff with marginalized identities? Are you still looking for a team to help you get it together?

Meet @shiftyourculture, a women of color-owned equity and culture shift firm that takes a people-centered approach to designing unique experiences for clients as they move through the journey towards organizational culture change.

For The Culture works with organizations, institutions and companies of any sector, structure and size, and at any point in their equity and culture shift journeys.

Visit https://www.shiftyourculture.org/ (LINK IN BIO) to learn more about their services. ",3,0,0,0,3,1,0,1,7,0,3,"1",1,0
"193","Nicole Clark Consulting","4/8/2021","Instagram","Thu","","Education","Words",12,0.008130081301,0,NA,172,8,"#raiseyourvoice #nicoleclarkconsulting #consulting #business #solopreneur #socialwork #publichealth #freelance","","","","","","","","Y",NA,"I didn’t put much thought into my capacity to do consulting work in the beginning. In fact, I had a “quantity” mindset when I started out, taking on multiple projects at once to build my portfolio. It was a lot, considering I was still working at my full-time job.

At some point, I realized this wasn’t sustainable. Along with the day job, having multiple projects that started and ended around the same time didn’t help me feel financially stable in the long-run. Running out of projects at the same time is panic-inducing.

While it's tempting to take on multiple projects, being honest about the amount of work you can do right now, along with the time and resources you actually have, helps you, your current clients and partners, and prospective ones.

What factors do you consider when taking on new client/partner work? Read more of this week’s blog post at http://nicoleclarkconsulting.com/ask-nicole-being-honest-about-your-capacity/ (LINK IN BIO)",3,0,0,1,3,1,0,1,3,1,3,"1",2,0
"194","Nicole Clark Consulting","3/17/2021","Instagram","Wed","","Education","Words",11,0.007452574526,1,NA,84,13,"#raiseyourvoice #nicoleclarkconsulting #asknicole #consulting #business #partnerships #collaboration #socialwork #publichealth #reprojustice #reproductivejustice #leadership #BIPOC","","","","","","","","Y",NA,"If you’re like me and often work alone, you’re probably thinking of how you can leverage being in a partnership. Before jumping to work with a partner, pause and assess the opportunity so that you can confidently move forward, take more time to negotiate, or turn down the request. 

What do you consider when requesting, accepting, or turning down a partnership? Read more of this week’s blog post at http://nicoleclarkconsulting.com/ask-nicole-responding-to-partnership-requests/ (LINK IN BIO)",3,1,0,0,2,1,0,0,4,1,2.5,"2",0,0
"195","Joan Garry Consulting","3/22/2022","Instagram","Tue","","Personal","Words",2,0.0009652509653,1,NA,24,1,"#nonprofitsaremessy","","","","","","","","N",NA,"No holds barred, if I could have any guest in the world, who would you love to hear me interview on #nonprofitsaremessy Comment below!",3,1,0,0,3,1,0,1,15,0,3,"2",1,0
"196","Joan Garry Consulting","3/10/2022","Instagram","Thu","","Personal","Self",60,0.02895752896,3,NA,18,3,"#selfcare #vacationmode #joangarry","","","","","","","","N",NA,"We had a great time on the West Coast. Getting to work on planning next year’s vacation🙂",3,0,0,1,3,0,0,1,2,1,3,"0",2,0
"197","Joan Garry Consulting","2/23/2022","Instagram","Wed","","Personal","Self",73,0.03523166023,5,NA,31,0,"","","","","","","","","N",NA,"Working 7 days a week is not healthy and it leads to burnout. As leaders it's important we model self-care. And that's what I am doing this week! 😀",3,0,1,1,3,0,0,1,1,1,3,"0",2,1
"198","Joan Garry Consulting","1/30/2022","Instagram","Sun","","Education","Words",8,0.003861003861,0,NA,32,4,"#TheMaid #Netflix #Awareness #nonprofitsaremeasy￼","","","","","","","","N",NA,"In this episode you will find ￼practical advice about how to use tv and film as a hook to build awareness for your cause, for your organization and for your own leadership.",3,0,0,1,2,0,0,0,7,0,2.5,"0",1,0
"199","Joan Garry Consulting","1/1/2022","Instagram","Sat","","Personal","Graphic",5,0.002413127413,0,NA,0,0,"","","","","","","","","N",NA,"",0,0,0,0,NA,0,0,0,12,0,NA,"0",0,0
"200","Joan Garry Consulting","12/28/2021","Instagram","Tue","","Personal","Words",4,0.001930501931,0,NA,0,0,"","","","","","","","","N",NA,"",0,0,0,0,NA,0,0,0,13,0,NA,"0",0,0
"201","Joan Garry Consulting","11/25/2021","Instagram","Thu","","Personal","Words",9,0.004343629344,1,NA,25,3,"#Thanksgiving #Gratitude #nonprofitlife","","","","","","","","N",NA,"Thankful to be part of a sector that lifts others up, finds gaps and promptly fills them. Thankful for all your hard work and dedication. ",3,0,0,1,3,0,0,1,6,0,3,"0",2,0
"202","Joan Garry Consulting","10/13/2021","Instagram","Wed","","Activism","Self",29,0.013996139,0,NA,0,3,"#NationalComingOutDay #lgbtq🌈 #Equality","","","","","","","","N",NA,"",0,0,0,0,NA,0,0,0,3,1,NA,"0",0,0
"203","Joan Garry Consulting","8/26/2021","Instagram","Thu","","Advertisement","Video",12,0.005791505792,0,NA,9,15,"#NonprofitsAreMessy #Philanthropy #NonProfit #Charity #JoanGarry #JoanGarryConsulting #Nonprofitleadership #helpingthehelpers #lookforthehelpers #nonprofitwhisperer #executivecoach #speaker #podcast 
#joangarrybook #theworldiscountingonyou","","","","","","","","N",NA,"Sneak peak at my upcoming podcast with Lisa Greer! 
 ",3,0,0,0,2,1,0,1,5,1,2.5,"1",1,0
"204","Joan Garry Consulting","7/19/2021","Instagram","Mon","","Advertisement","Graphic",7,0.003378378378,0,NA,27,5,"#fundraising #volunteers #philanthropy #theworldiscountingonyou #nonprofitsaremessy","","","","","","","","Y",NA,"Yes I put ""joy"" and ""fundraising"" in the same sentence. And no it's not an oxymoron.
.
.
.
.
https://mielegalaid.org/civicrm/event/info%3Fid%3D61%26reset%3D1",3,0,1,1,3,0,0,0,9,0,3,"0",1,1
"205","Joan Garry Consulting","7/16/2021","Instagram","Fri","","Education","Words",4,0.001930501931,0,NA,25,9,"#Fundraising #Galor #Nonprofit #NonprofitOrganization #Virtual #Crowdfunding #Donors #Philanthropy #TheWorldIsCountingOnYou","","","","","","","","N",NA,"By popular demand we are re-broadcasting for all of you out there who are not quite ready to plan an in person gala. @lizpageevents ",3,0,0,0,2,1,0,1,13,0,2.5,"1",1,0
"206","Joan Garry Consulting","7/3/2021","Instagram","Sat","","Advertisement","Graphic",7,0.003378378378,1,NA,18,5,"#TheWorldIsCountingOnYou #NonprofitsAreMessy #Blogger #Author #nonprofitlife","","","","","","","","N",NA,"Don't miss out on new content. To get on our blog list go to link in bio.",3,1,0,0,2,1,0,0,9,0,2.5,"2",0,0
"207","Joan Garry Consulting","6/8/2021","Instagram","Tue","","Advertisement","Words",6,0.002895752896,0,NA,0,0,"","","","","","","","","N",NA,"",0,0,0,0,NA,0,0,0,11,0,NA,"0",0,0
"208","Joan Garry Consulting","5/17/2021","Instagram","Mon","","Education","Words",27,0.01303088803,0,NA,6,6,"#tech #innovation #salesforce #mission #nonprofitsaremessy #theworldiscountingonyou","","","","","","","","N",NA,"Make tech central to your mission!",2,0,0,0,2,0,0,0,4,1,2,"0",0,0
"209","Joan Garry Consulting","4/25/2021","Instagram","Sun","","Personal","Video",8,0.003861003861,0,NA,21,5,"#nonprofitschool #professor #nonprofit #theworldiscountingonyou #nonprofitleadership","","","","","","","","N",NA,"So glad to see professors using my book as a textbook. I do love teaching! Great questions from the students today.",3,0,0,1,3,0,0,1,7,0,3,"0",2,0
"210","Viable Insights","2/16/2022","Instagram","Wed","","Advertisement","Words",3,0.02727272727,0,NA,52,3,"#partnerwithus #data #evaluation","","","","","","","","N",NA,"Regardless of the type/format of data, it’s always important to spend time getting to know it. 
For our team, this interrogatory process is a necessary first step as we work toward ultimately making sense of a data set.
Need help making sense of your data? We've got you covered!🙌",3,0,0,0,2,0,0,1,10,0,2.5,"0",1,0
"211","Viable Insights","11/22/2021","Instagram","Mon","","Education","Graphic",4,0.03636363636,0,NA,53,2,"#appliedresearch #evaluation","","","","","","","","N",NA,"Happy Monday! More importantly, happy day 2 of the applied research & evaluation deep dive!

In these images we are sharing some of the best advice we have received from our colleagues when starting your journey into the world of applied research and evaluation. 

Do you have any other pieces of advice to share? ",3,0,0,0,2,1,0,1,8,0,2.5,"1",1,0
"212","Viable Insights","10/31/2021","Instagram","Sun","","Personal","Graphic",5,0.04545454545,0,NA,7,0,"","","","","","","","","N",NA,"we 🧡 any excuse for a logo spinoff 🎃",3,0,1,0,2,0,0,1,5,1,2.5,"0",1,1
"213","Viable Insights","9/11/2021","Instagram","Sat","","Personal","Words",3,0.02727272727,0,NA,0,2,"#neverforget #september11","","","","","","","","N",NA,"",0,0,0,0,NA,0,0,0,10,0,NA,"0",0,0
"214","Viable Insights","8/31/2021","Instagram","Tue","","Personal","Graphic",5,0.04545454545,0,NA,47,3,"#datadriven #solutionfocused #relationships","","","","","","","","N",NA,"BIG THANKS TO EACH OF YOU! 

We have hit 100 followers on Instagram, and we are just getting started! 

Help us continue the momentum by inviting your friends, family, and colleagues to join us! You never know when you might need a data expert in your corner.",3,0,0,1,2,1,0,1,5,1,2.5,"1",2,0
"215","Viable Insights","8/26/2021","Instagram","Thu","","Personal","Miscellaneous",6,0.05454545455,0,NA,22,0,"","","","","","","","","N",NA,"Happy National Dog Day! 

Meet the pups that belong to our fearless leaders, Deven and Phil! Pictured here on vacation in Mexico!",3,0,1,1,3,1,1,1,3,1,3,"1",2,2
"216","Viable Insights","8/24/2021","Instagram","Tue","","Advertisement","Graphic",1,0.009090909091,0,NA,33,3,"#data #evaluation #grants","","","","","","","","N",NA,"Does your organization rely on grant funding? Most grants today come with a required evaluation component. Viable Insights has helped organizations develop grant proposals bringing in #data and #evaluation expertise from the start! 
",2,0,0,0,2,0,0,1,14,0,2,"0",1,0
"217","Viable Insights","8/9/2021","Instagram","Mon","","Advertisement","Graphic",7,0.06363636364,0,NA,38,1,"#dataondemand","","","","","","","","N",NA,"Need data support but on a short term basis? Or maybe you need a certain caliber but haven’t quite established a role. We can help with our on-demand data analyst subscription! 

Message us to learn more!",2,0,0,0,2,1,0,1,1,1,2,"1",1,0
"218","Viable Insights","8/2/2021","Instagram","Mon","","Promotion","Graphic",2,0.01818181818,0,NA,48,1,"#linkinbio","","","","","","","","N",NA,"""A show about our collective vision for being more human in our work lives. For evaluators, academics, researchers, and other people in the information economy.""

If you are looking for a podcast recommendation we suggest this one. Deven Wisner, one of our partners is a co-host! ",2,0,0,0,2,1,0,1,12,0,2,"1",1,0
